effective_time,version,brand_name,generic_names,manufacturer_names,product_ndcs,package_ndcs,upcs,route,product_type,substance_names,uniis,pharm_class_epc,pharm_class_pe,pharm_class_cs,spl_id,spl_set_id,is_original_packager
20210715,9,Unda 3,"['EQUISETUM ARVENSE STEM, CHAMOMILLA, CONDURANGO BARK, VIOLA TRICOLOR, BOLDO LEAF, ALUMINIUM METALLICUM, STANNUM METALLICUM']",['Seroyal USA'],"['62106-1102', '62106-1115', '62106-1147', '62106-1106', '62106-1144']","['62106-1115-8', '62106-1102-8', '62106-1147-8', '62106-1106-8', '62106-1144-8']",['0883196301102'],['ORAL'],['HUMAN OTC DRUG'],"['ALUMINUM', 'EQUISETUM ARVENSE TOP', 'MARSDENIA CONDURANGO BARK', 'MATRICARIA RECUTITA', 'PEUMUS BOLDUS LEAF', 'TIN', 'VIOLA TRICOLOR']","['3M4G523W1G', 'E678D1QH0K', '6D74QW4H67', 'S7V92P67HO', '2FXJ6SW4PK', '1DP6Y6B65Z', '75O014T1HG', 'G0R4UBI2ZZ', 'Q4EWM09M3O', '18E7415PXQ', '3M5V3D1X36', 'XZC6H8R666', '1NT28V9397', '2P299V784P', '9IH82J936J', '9Q24RAI43V', '0R715588D2', '79Y1949PYO', 'C88X29Y479', '464910T5N9', 'W1LUS9R48G', 'KPS1B1162N', 'CPD4NFA903', '38SNL0F81Z', '387GMG9FH5', 'M7T6H7D4IF', '74068FOS7R']","['Non-Standardized Plant Allergenic Extract [EPC]', 'Standardized Chemical Allergen [EPC]']","['Increased Histamine Release [PE]', 'Cell-mediated Immunity [PE]', 'Increased IgG Production [PE]']","['Plant Proteins [CS]', 'Allergens [CS]']",['c731175a-04a5-5d25-e053-2995a90a6082'],['1583cf73-c22c-0fa8-e054-00144ff8d46c'],[True]
20240813,6,ACETAMINOPHEN AND CODEINE PHOSPHATE,['ACETAMINOPHEN AND CODEINE PHOSPHATE'],['Eywa Pharma Inc'],"['71930-054', '71930-055', '71930-056']","['71930-054-12', '71930-054-52', '71930-055-12', '71930-055-52', '71930-056-12', '71930-056-52']",[],['ORAL'],['HUMAN PRESCRIPTION DRUG'],"['ACETAMINOPHEN', 'CODEINE PHOSPHATE']","['GSL05Y1MN6', '362O9ITL9D']",[],[],[],['d9b90990-529a-42ff-95dc-3b775fa46b76'],['79377617-686b-4640-b2b8-e1358cf82358'],[True]
20231220,3,"Dextroamphetamine Saccharate, Amphetamine Aspartate Monohydrate, Dextroamphetamine Sulfate and Amphetamine Sulfate","['DEXTROAMPHETAMINE SULFATE, DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE SULFATE AND AMPHETAMINE ASPARTATE']","['Golden State Medical Supply, Inc.']","['51407-557', '51407-558', '51407-559', '51407-560', '51407-561', '51407-562']","['51407-557-01', '51407-558-01', '51407-559-01', '51407-560-01', '51407-561-01', '51407-562-01']","['0351407557018', '0351407559012', '0351407562012', '0351407561015', '0351407558015', '0351407560018']",['ORAL'],['HUMAN PRESCRIPTION DRUG'],"['AMPHETAMINE ASPARTATE MONOHYDRATE', 'AMPHETAMINE SULFATE', 'DEXTROAMPHETAMINE SACCHARATE', 'DEXTROAMPHETAMINE SULFATE']","['6DPV8NK46S', 'O1ZPV620O4', 'JJ768O327N', 'G83415V073']",[],[],[],['0cf87661-ee5a-e1d5-e063-6294a90ae270'],['f6dfefdf-7a4a-e104-e053-6394a90a05bd'],[True]
20250825,8,Fluocinolone Acetonide Oil,['FLUOCINOLONE ACETONIDE'],"['Rising Pharma Holdings, Inc.']",['64980-329'],['64980-329-20'],['0364980329200'],['AURICULAR (OTIC)'],['HUMAN PRESCRIPTION DRUG'],['FLUOCINOLONE ACETONIDE'],['0CD5FD6S2M'],['Corticosteroid [EPC]'],[],[],['1785d85e-edcf-44cc-b84e-a7beb1e5d7b6'],['79591576-1eab-48c5-b0a6-e205b3cc097e'],[True]
20250812,2,Sun Bum Protecting Scalp and Hair Mist SPF 30 sunscreen,"['AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE']","['Sun Bum, LLC']","['69039-742', '69039-787']","['69039-742-01', '69039-787-01', '69039-787-02']","['0840155600898', '0871760007536']",['TOPICAL'],['HUMAN OTC DRUG'],"['AVOBENZONE', 'HOMOSALATE', 'OCTISALATE', 'OCTOCRYLENE']","['V06SV4M95S', 'G63QQF2NOX', '5A68WGF6WM', '4X49Y0596W']",[],[],[],['3c3218d5-794b-c0a8-e063-6294a90a177a'],['3aa05afb-c843-f38f-e063-6294a90a1cdf'],[True]
20251015,17,Atovaquone and Proguanil Hydrochloride,['ATOVAQUONE AND PROGUANIL HYDROCHLORIDE'],"['PD-Rx Pharmaceuticals, Inc.']",['43063-393'],"['43063-393-14', '43063-393-20']",['0343063522073'],['ORAL'],['HUMAN PRESCRIPTION DRUG'],"['ATOVAQUONE', 'PROGUANIL HYDROCHLORIDE']","['Y883P1Z2LT', 'R71Y86M0WT']","['Antimalarial [EPC]', 'Antiprotozoal [EPC]']",[],[],['413849a3-3885-9fb2-e063-6394a90a7029'],['a79fb027-66a6-47c8-9ee7-ce9367e9ec6e'],[]
20251015,24,Cefadroxil,['CEFADROXIL'],"['PD-Rx Pharmaceuticals, Inc.']",['43063-595'],"['43063-595-20', '43063-595-28']",['0343063595206'],['ORAL'],['HUMAN PRESCRIPTION DRUG'],['CEFADROXIL'],['280111G160'],[],[],[],['41399346-37b8-2396-e063-6394a90ae471'],['ab9cf28c-7c16-4bfa-879d-c360b4d1d5a6'],[]
20240611,14,Amoxicillin and Clavulanate Potassium,['AMOXICILLIN AND CLAVULANATE POTASSIUM'],['Aurobindo Pharma Limited'],"['65862-533', '65862-534']","['65862-533-50', '65862-533-75', '65862-533-01', '65862-534-50', '65862-534-75', '65862-534-01']",[],['ORAL'],['HUMAN PRESCRIPTION DRUG'],"['AMOXICILLIN', 'CLAVULANATE POTASSIUM']","['804826J2HU', 'Q42OMW3AT8']",[],[],[],['4bd68235-4588-4e1a-9bac-b3d98481fd03'],['ab1dbe70-696f-4ff9-a0c7-7406bff590ae'],[True]
20240814,12,tobramycin and dexamethasone,['TOBRAMYCIN AND DEXAMETHASONE'],['Amneal Pharmaceuticals NY LLC'],"['69238-1373', '69238-1374', '69238-1375']","['69238-1373-2', '69238-1374-3', '69238-1375-6']",[],['OPHTHALMIC'],['HUMAN PRESCRIPTION DRUG'],"['DEXAMETHASONE', 'TOBRAMYCIN']","['VZ8RRZ51VK', '7S5I7G3JQL']","['Aminoglycoside Antibacterial [EPC]', 'Corticosteroid [EPC]']",[],['Aminoglycosides [CS]'],['85f526f7-6a3c-4a7b-80e6-229a08811eca'],['2a7eea7d-b82d-481a-a83d-96fe21d21cd2'],[True]
20250714,16,Losartan Potassium and Hydrochlorothiazide,['LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE'],['Alembic Pharmaceuticals Inc.'],"['62332-048', '62332-049', '62332-050']","['62332-048-30', '62332-048-90', '62332-048-91', '62332-048-10', '62332-049-30', '62332-049-90', '62332-049-91', '62332-049-10', '62332-050-30', '62332-050-90', '62332-050-91', '62332-050-10']","['0362332048304', '0362332050307', '0362332049301']",['ORAL'],['HUMAN PRESCRIPTION DRUG'],"['HYDROCHLOROTHIAZIDE', 'LOSARTAN POTASSIUM']","['3ST302B24A', '0J48LPH2TH']",['Thiazide Diuretic [EPC]'],['Increased Diuresis [PE]'],['Thiazides [CS]'],['7279ac51-fd23-4fd7-b97e-6eb7a8e60f76'],['acecced9-2a61-435d-b7d4-b151cb7b7e5d'],[True]
